"site","freq","mod","freqBin","amp"
"Florida","6Hz","box",91.7142857142857,0.0265318983333333
"Florida","6Hz","box",92.1428571428571,0.0264186246666667
"Florida","6Hz","box",92.5714285714286,0.026305151
"Florida","6Hz","box",93,0.026202238
"Florida","6Hz","box",93.4285714285714,0.0260969766666667
"Florida","6Hz","box",93.8571428571428,0.0260232426666667
"Florida","6Hz","box",94.2857142857143,0.025850655
"Florida","6Hz","box",94.7142857142857,0.0257646456666667
"Florida","6Hz","box",95.1428571428571,0.0256632986666667
"Florida","6Hz","box",95.5714285714286,0.0255688606666667
"Florida","6Hz","box",96,0.025469522
"Florida","6Hz","box",96.4285714285714,0.025368707
"Florida","6Hz","box",96.8571428571428,0.025271207
"Florida","6Hz","box",97.2857142857143,0.0251706946666667
"Florida","6Hz","box",97.7142857142857,0.0250716136666667
"Florida","6Hz","box",98.1428571428571,0.0249805623333333
"Florida","6Hz","box",98.5714285714286,0.0248834393333333
"Florida","6Hz","box",99,0.024786879
"Florida","6Hz","box",99.4285714285714,0.0246917843333333
"Florida","6Hz","box",99.8571428571428,0.024599177
"Florida","6Hz","box",100.285714285714,0.0245086676666667
"Florida","6Hz","box",100.714285714286,0.024415095
"Florida","6Hz","box",101.142857142857,0.024325815
"Florida","6Hz","box",101.571428571429,0.024237616
"Florida","6Hz","box",102,0.0241539456666667
"Florida","6Hz","box",102.428571428571,0.0240599523333333
"Florida","6Hz","box",102.857142857143,0.0239733293333333
"Florida","6Hz","box",103.285714285714,0.0238860083333333
"Florida","6Hz","box",103.714285714286,0.0238020096666667
"Florida","6Hz","box",104.142857142857,0.0237240446666667
"Florida","6Hz","box",104.571428571429,0.0236396756666667
"Florida","6Hz","box",105,0.023554772
"Florida","6Hz","box",105.428571428571,0.0234738676666667
"Florida","6Hz","box",105.857142857143,0.023392387
"Florida","6Hz","box",106.285714285714,0.0233091966666667
"Florida","6Hz","box",106.714285714286,0.0232293226666667
"Florida","6Hz","box",107.142857142857,0.0231509503333333
"Florida","6Hz","box",107.571428571429,0.023071857
"Florida","6Hz","box",108,0.0229946016666667
"Florida","6Hz","box",108.428571428571,0.0229179356666667
"Florida","6Hz","box",108.857142857143,0.022841613
"Florida","6Hz","box",109.285714285714,0.0227661826666667
"Florida","6Hz","box",109.714285714286,0.0226918556666667
"Florida","6Hz","box",110.142857142857,0.022617878
"Florida","6Hz","box",110.571428571429,0.02254466
"Florida","6Hz","box",111,0.0224720086666667
"Florida","6Hz","box",111.428571428571,0.0223974806666667
"Florida","6Hz","box",111.857142857143,0.0223252893333333
"Florida","6Hz","box",112.285714285714,0.0222586766666667
"Florida","6Hz","box",112.714285714286,0.022190672
"Florida","6Hz","box",113.142857142857,0.0221179973333333
"Florida","6Hz","box",113.571428571429,0.0220503033333333
"Florida","6Hz","box",114,0.0219984363333333
"Florida","6Hz","box",114.428571428571,0.0219146353333333
"Florida","6Hz","box",114.857142857143,0.021844142
"Florida","6Hz","box",115.285714285714,0.0217803446666667
"Florida","6Hz","box",115.714285714286,0.021711823
"Florida","6Hz","box",116.142857142857,0.0216430333333333
"Florida","6Hz","box",116.571428571429,0.021579453
