"lab","freq","mod","electrode","x","y","amplitude"
"Florida","6Hz","sine","E102",77.0757795587277,-24.2279722926707,3.08964
"Florida","6Hz","sine","E103",62.3658981365752,-7.23363018257962,1.92905466666667
"Florida","6Hz","sine","E104",45.139000940819,2.34746545549408,3.01225533333333
"Florida","6Hz","sine","E105",28.5960902390953,7.43167134886356,3.51311
"Florida","6Hz","sine","E106",9.06629877496366,11.5485593631021,3.48051333333333
"Florida","6Hz","sine","E107",134.514184844694,-53.5568924748948,4.49979866666667
"Florida","6Hz","sine","E108",102.023724252225,-26.0624191069444,2.57758533333333
"Florida","6Hz","sine","E109",82.0312253490634,0.356499272328901,2.996596
"Florida","6Hz","sine","E110",58.7070104036568,13.6367088941921,1.80021466666667
"Florida","6Hz","sine","E111",39.6304283909149,22.4510456227002,2.02262466666667
"Florida","6Hz","sine","E112",18.7176485153145,25.0067456910559,2.90588066666667
"Florida","6Hz","sine","E113",148.427539841507,9.81951733019121,4.82379333333333
"Florida","6Hz","sine","E114",127.856243406767,23.8953117140088,3.39542666666667
"Florida","6Hz","sine","E115",106.979294016482,12.6447944916077,2.78379066666667
"Florida","6Hz","sine","E116",73.2735964589411,31.8739532843394,2.09236946666667
"Florida","6Hz","sine","E117",50.0298983002845,37.5034658673461,1.97480866666667
"Florida","6Hz","sine","E118",31.3121246459833,41.9182840077502,1.72385733333333
"Florida","6Hz","sine","E119",147.073602828489,55.1905344696692,4.14009933333333
"Florida","6Hz","sine","E120",132.385776483018,49.089223063604,3.48825533333333
"Florida","6Hz","sine","E121",111.066561880691,61.2336542760814,1.87572
"Florida","6Hz","sine","E122",86.5427774390136,55.8179182444255,2.14507
"Florida","6Hz","sine","E123",56.2717346283799,54.0022587112168,2.10320333333333
"Florida","6Hz","sine","E124",39.5281102525102,53.3724044414846,2.03503266666667
"Florida","6Hz","sine","E125",107.29091960617,79.3302648808283,2.38280066666667
"Florida","6Hz","sine","E126",71.1683422201787,126.406610434864,4.11424333333333
"Florida","6Hz","sine","E127",-71.1683422201787,126.406610434864,4.26191666666667
"Florida","6Hz","sine","E128",-107.29091960617,79.3302648808283,2.88249333333333
"Florida","6Hz","sine","Cz",0,0,4.47181133333333
"Florida","8.57Hz","square","E1",86.719831310897,82.7208230943671,1.92076933333333
"Florida","8.57Hz","square","E2",60.5117564493148,76.717478004812,1.45306933333333
"Florida","8.57Hz","square","E3",35.2634825458284,69.6677676887961,2.08417333333333
"Florida","8.57Hz","square","E4",23.6192388587642,58.8318312797812,1.825276
"Florida","8.57Hz","square","E5",11.4069836172611,43.8485528695707,1.88476613333333
"Florida","8.57Hz","square","E6",0,28.614,2.37344933333333
"Florida","8.57Hz","square","E7",-9.06629877496366,11.5485593631021,2.96901866666667
"Florida","8.57Hz","square","E8",51.097415472918,96.8083637295249,1.65431733333333
"Florida","8.57Hz","square","E9",26.8737792539972,88.585411736964,1.24768533333333
"Florida","8.57Hz","square","E10",16.0697667431522,76.4350039760624,1.81597133333333
"Florida","8.57Hz","square","E11",0,64.048,1.55426333333333
"Florida","8.57Hz","square","E12",-11.4069836172611,43.8485528695707,2.10820866666667
"Florida","8.57Hz","square","E13",-18.7176485153145,25.0067456910559,2.077596
"Florida","8.57Hz","square","E14",14.1187002915317,105.342066422099,2.17882666666667
"Florida","8.57Hz","square","E15",0,90.726,1.53795866666667
"Florida","8.57Hz","square","E16",0,79.014,1.61516266666667
"Florida","8.57Hz","square","E17",0,114.908,2.24277066666667
