"lab","freq","mod","electrode","x","y","amplitude","amplitudeSNR"
"Florida","8.57Hz","square","E9",26.8737792539972,88.585411736964,10.2744733333333,5.33684850941421
"Florida","8.57Hz","square","E10",16.0697667431522,76.4350039760624,8.64122,5.32431348388994
"Florida","8.57Hz","square","E11",0,64.048,8.02090666666667,5.26536464040646
"Florida","8.57Hz","square","E12",-11.4069836172611,43.8485528695707,8.44343333333333,5.48620163502894
"Florida","8.57Hz","square","E13",-18.7176485153145,25.0067456910559,7.21740666666667,5.54941157171917
"Florida","8.57Hz","square","E14",14.1187002915317,105.342066422099,10.24932,5.6879134729466
"Florida","8.57Hz","square","E15",0,90.726,9.65771333333333,5.40225823709789
"Florida","8.57Hz","square","E16",0,79.014,8.97329333333333,5.18153154359676
"Florida","8.57Hz","square","E17",0,114.908,9.58412,5.77873708027584
"Florida","8.57Hz","square","E18",-16.0697667431522,76.4350039760624,9.22544,5.20572665785132
"Florida","8.57Hz","square","E19",-23.6192388587642,58.8318312797812,7.57563333333333,5.40669360385433
"Florida","8.57Hz","square","E20",-31.3121246459833,41.9182840077502,7.84256666666667,5.29891715372428
"Florida","8.57Hz","square","E21",-14.1187002915317,105.342066422099,9.89554666666667,5.7122894923208
"Florida","8.57Hz","square","E22",-26.8737792539972,88.585411736964,10.2204733333333,5.46724155134339
"Florida","8.57Hz","square","E23",-35.2634825458284,69.6677676887961,9.12654666666667,5.26889065186921
"Florida","8.57Hz","square","E24",-39.5281102525102,53.3724044414846,8.0389,5.49498170165851
"Florida","8.57Hz","square","E25",-51.097415472918,96.8083637295249,10.0551066666667,5.52707722126222
"Florida","8.57Hz","square","E26",-60.5117564493148,76.717478004812,9.73762,5.47408735616743
"Florida","8.57Hz","square","E27",-56.2717346283799,54.0022587112168,8.00706,5.36456434951455
"Florida","8.57Hz","square","E28",-50.0298983002845,37.5034658673461,7.6647,5.40176790827581
"Florida","8.57Hz","square","E29",-39.6304283909149,22.4510456227002,7.59348,5.69588140279677
"Florida","8.57Hz","square","E30",-28.5960902390953,7.43167134886356,9.57781333333333,5.96490395944897
"Florida","8.57Hz","square","E31",-14.2590609871468,-4.99065843399723,9.40644,6.06784946250891
"Florida","8.57Hz","square","E32",-86.719831310897,82.7208230943671,8.68270666666667,5.65173057858463
"Florida","8.57Hz","square","E33",-86.5427774390136,55.8179182444255,9.98008666666667,5.60131528869605
"Florida","8.57Hz","square","E34",-73.2735964589411,31.8739532843394,7.09045333333333,5.54494380219673
"Florida","8.57Hz","square","E35",-58.7070104036568,13.6367088941921,7.06688666666667,5.780990411771
"Florida","8.57Hz","square","E36",-45.139000940819,2.34746545549408,8.32106,6.12469385196348
"Florida","8.57Hz","square","E37",-29.3939238752213,-11.4188613800894,10.08432,5.80855549510393
