"lab","freq","mod","trial","amplitude","amplitude_smoothed","SNR","SNR_smoothed"
"Florida","8.57Hz","square",3,13.0488285714286,12.5469946803197,12.1566107142857,11.4178622169497
"Florida","8.57Hz","square",4,11.5507692307692,12.6026698426573,10.7167115384615,11.1905949009324
"Florida","8.57Hz","square",5,15.9817071428571,12.8656016608392,10.7766035714286,11.3997441433566
"Florida","8.57Hz","square",6,10.9270615384615,13.3724509032634,11.9088038461538,11.3588558857809
"Florida","8.57Hz","square",7,11.7661,13.4183796620047,10.4413576923077,11.3617126456876
"Florida","8.57Hz","square",8,11.627175,13.6123136230436,10.5157958333333,11.6196270612721
"Florida","8.57Hz","square",9,13.5393642857143,13.6825201165501,9.87379285714286,11.5311525645188
"Florida","8.57Hz","square",10,15.8191875,13.8705388228438,14.674375,11.6773090913253
"Florida","8.57Hz","square",11,18.5022791666667,13.5524660955711,11.9239625,11.7086100653513
"Florida","8.57Hz","square",12,13.4321538461538,13.7701734881785,12.4051576923077,11.5091041962204
"Florida","8.57Hz","square",13,13.5408235714286,14.0092253821179,12.4227264285714,11.5258784969197
"Florida","8.57Hz","square",14,13.8211,14.0706744080919,11.18339125,11.3299428042791
"Florida","8.57Hz","square",15,13.618975,14.0775390184815,12.3244333333333,11.3325905315518
"Florida","8.57Hz","square",16,12.4829071428571,14.0979914485514,11.1209142857143,11.0101744476357
"Florida","8.57Hz","square",17,13.3218428571429,13.6418488619714,9.71423928571429,11.004824285298
"Florida","8.57Hz","square",18,14.3956708333333,13.212798512321,10.625875,10.7192206934354
"Florida","8.57Hz","square",19,12.3031142857143,13.0601264393939,8.36050321428571,10.4415707383904
"Florida","8.57Hz","square",20,13.614875,12.8901170454545,9.90291785714286,10.3608268368752
"Florida","8.57Hz","square",21,16.0441642307692,12.6379261363636,11.1277980769231,10.0472094126328
"Florida","8.57Hz","square",22,13.4847107142857,12.5820920454545,11.8651107142857,9.98806395808737
"Florida","8.57Hz","square",23,8.7126,12.9008121753247,9.26351818181818,10.3000370100354
"Florida","8.57Hz","square",24,11.8614307692308,13.0467669247419,9.36857692307692,10.3586798422033
"Florida","8.57Hz","square",25,11.9509966666667,13.0647243381618,10.2952083333333,10.5381393984803
"Florida","8.57Hz","square",26,10.844875,13.3450311563437,8.87464166666667,10.675455578134
"Florida","8.57Hz","square",27,11.8687321428571,13.1037190234765,10.4703142857143,10.5155829907214
"Florida","8.57Hz","square",28,16.8277642857143,13.0638869282384,13.1459428571429,10.5118267742712
"Florida","8.57Hz","square",29,16.0011730769231,13.5608456059244,11.2709461538462,10.6082837990646
"Florida","8.57Hz","square",30,12.5006458333333,14.1047597667635,10.3345583333333,10.703198274589
"Florida","8.57Hz","square",31,16.69825,14.2735951347289,11.4133958333333,10.6152234910393
"Florida","8.57Hz","square",32,13.3897307692308,14.392720225638,9.36919961538462,10.6549868519208
"Florida","8.57Hz","square",33,13.0465576666667,14.2402965243393,11.8237923333333,10.5798443194533
"Florida","8.57Hz","square",34,14.1791454545455,14.2509906801835,10.3245454545455,10.2951253883843
"Florida","8.57Hz","square",35,17.8444865384615,14.263953267596,10.4126361538462,10.1571558079648
"Florida","8.57Hz","square",36,13.8081857142857,14.4638841009294,9.32748571428571,10.1256965049345
"Florida","8.57Hz","square",37,12.155251,14.3176875974329,9.31203863636364,10.3797031774286
"Florida","8.57Hz","square",38,10.1920714285714,14.3531880469833,9.64374642857143,10.4961368812248
"Florida","8.57Hz","square",39,16.9454,14.4782383240396,10.0140346153846,10.2722963768958
"Florida","8.57Hz","square",40,16.1437615384615,14.442786989011,9.75328076923077,10.2818242376714
"Florida","8.57Hz","square",41,14.699885,13.6058817733933,9.988506,9.87549708732177
"Florida","8.57Hz","square",42,15.0900884615385,13.5742703448218,14.2074692307692,9.79707793147761
"Florida","8.57Hz","square",43,13.7802357142857,13.8456611630037,10.6499703571429,9.81024600999001
"Florida","8.57Hz","square",44,14.4221107142857,13.9986183885054,9.36154678571429,9.72029137598765
"Florida","8.57Hz","square",45,13.7891807692308,14.0295177273484,10.4293519230769,10.2458599646717
"Florida","8.57Hz","square",46,8.63852916666667,13.9835784208216,5.9430375,10.3105416371659
"Florida","8.57Hz","square",47,13.46046,13.8996710723368,8.464875,10.3602820008022
"Florida","8.57Hz","square",48,15.14055,14.251443333409,9.4568875,10.2628221717424
"Florida","8.57Hz","square",49,11.8746009090909,14.6049044805952,8.65424545454546,10.1960888059415
"Florida","8.57Hz","square",50,17.2852927272727,14.5371691631348,15.7952890909091,10.038558795119
"Florida","8.57Hz","square",51,15.6384291666667,14.8638531427916,10.4647791666667,10.0731763888889
"Florida","8.57Hz","square",52,13.7769041666667,15.3585254407713,10.53565,10.4741045959596
"Florida","8.57Hz","square",53,18.9595833333333,15.6889877548209,13.1354111111111,10.6053535629017
"Florida","8.57Hz","square",54,17.6683083333333,15.7579858608815,9.91590333333333,10.6569728810836
"Florida","8.57Hz","square",55,13.6770222222222,16.2524457782369,7.62871666666667,10.6705537488522
"Florida","8.57Hz","square",56,17.3827045454545,15.7998462121212,10.8101454545455,9.85508797922406
"Florida","8.57Hz","square",57,14.0799244444444,16.0181694347319,10.3532477777778,10.2137021109257
"Florida","8.57Hz","square",58,17.0955454545455,16.5039751165501,9.90861363636364,10.3477839291075
